name,wins,losses,draws,weight_Normalized,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,division,age,reach_Normalized,height_Normalized,Physicality_Score,time_off,KO_Percentage,Striking_Score,Submission_Percentage,Grappling_Score,TotalFights,WinLossRatio,Experience_Score
Robert Drysdale,7,0,0,0.15037793396101312,0.0,0.0,0.0,0.0,7.32,1.0,0.0,21.9,Light Heavyweight,43.0,0.6674641148325355,0.5172413793103448,1.3350834281038935,,0.0,0.0,0.0,29.369999999999997,7,1.0,1.6
Daniel McWilliams,15,37,0,0.12027582548733588,3.36,0.77,0.0,0.0,0.0,0.0,1.0,21.6,Light Heavyweight,41.277864992150704,0.6674641148325355,0.4482758620689653,1.2360158023888368,,0.0,0.994,0.0,21.700000000000003,52,0.28846153846153844,10.457692307692309
Dan Molina,13,9,0,0.1669208327807983,0.0,0.0,5.58,0.6,0.0,0.0,0.0,20.9,Heavyweight,44.17465753424658,0.7320261437908496,0.34482758620689663,1.2437745627785446,,0.0,-0.747,0.0,20.9,22,0.5909090909090909,4.5181818181818185
Paul Ruiz,7,4,0,0.045086858506829315,1.4,0.33,1.4,0.75,0.0,0.0,1.0,20.9,Featherweight,35.8830242510699,0.4423076923076923,0.20689655172413768,0.6942911025386593,,0.0,0.3185,0.0,21.0,11,0.6363636363636364,2.3272727272727276
Collin Huckbody,8,2,0,0.12027582548733588,2.05,0.6,2.73,0.42,10.23,1.0,0.0,20.4,Light Heavyweight,30.0,0.6923076923076921,0.5172413793103448,1.3298248971053725,,0.0,0.28600000000000003,0.0,30.78,10,0.8,2.16
Gerald Strebendt,9,7,0,0.07518896698050656,0.0,0.0,4.0,0.38,0.0,0.0,0.0,16.4,Welterweight,45.0,0.5218723584108196,0.3103448275862067,0.9074061529775328,,0.0,-0.5429999999999999,0.0,16.4,16,0.5625,3.3125
Isaiah Hill,5,7,1,0.07518896698050656,4.84,0.5,0.97,0.8,0.0,0.0,0.66,14.5,Welterweight,38.13361169102296,0.5218723584108196,0.34482758620689663,0.9418889115982227,,0.0,1.2845000000000002,0.0,14.566,13,0.38461538461538464,2.676923076923077
Kenneth Seegrist,4,7,0,0.12027582548733588,3.21,0.66,1.28,0.0,0.0,0.0,0.4,14.4,Light Heavyweight,41.277864992150704,0.6674641148325355,0.41379310344827575,1.2015330437681473,,0.0,0.7424999999999999,0.0,14.44,11,0.36363636363636365,2.272727272727273
Will Kerr,9,3,0,0.07518896698050656,1.91,0.42,6.22,0.33,0.0,0.0,0.0,14.3,Welterweight,42.0,0.4230769230769229,0.34482758620689663,0.8430934762643261,,0.0,-0.32199999999999995,0.0,14.3,12,0.75,2.5500000000000003
Neil Grove,12,8,1,0.24058480307651503,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.3,Heavyweight,54.0,0.7320261437908496,0.6206896551724138,1.5933006020397786,,0.0,0.0,0.0,14.4,21,0.5714285714285714,4.314285714285714
Raphael Butler,9,2,1,0.23458427264288553,4.69,0.45,0.94,0.91,0.0,0.0,1.0,14.1,Heavyweight,44.17465753424658,0.7320261437908496,0.5172413793103448,1.48385179574408,,0.0,1.2580000000000002,0.0,14.2,12,0.75,2.5500000000000003
