RedFighter,BlueFighter,Winner,Date,Red_Striking_Score,Red_Grappling_Score,Red_Experience_Score,Red_Physicality_Score,Red_Age,Blue_Striking_Score,Blue_Grappling_Score,Blue_Experience_Score,Blue_Physicality_Score,Blue_Age,Experience_Difference,Striking_Difference,Grappling_Difference,Physicality_Difference,age_Difference
Ben Saunders,Jon Fitch,0,2010-03-27,12.947,1.661714285714286,7.518918918918919,1.3112602476928075,41.0,5.586,4.5325,7.757894736842106,1.1269101150668124,46.0,0.2389758179231869,7.360999999999999,2.870785714285714,0.1843501326259951,5.0
Kurt Pellegrino,Fabricio Camoes,1,2010-03-27,0.502,3.933333333333333,4.739130434782609,0.8125894974844854,45.0,0.20249999999999996,4.108,4.916666666666667,0.9200165531874032,46.0,0.17753623188405765,0.29950000000000004,0.17466666666666653,0.10742705570291777,1.0
Frank Mir,Shane Carwin,0,2010-03-27,12.62,4.134,5.924137931034483,1.5640266454962206,45.0,9.072333333333331,1.5948333333333333,2.9714285714285715,1.569497269920016,50.0,2.9527093596059117,3.547666666666668,2.539166666666667,0.005470624423795423,5.0
Georges St-Pierre,Dan Hardy,1,2010-03-27,0.9490000000000001,5.489714285714286,5.7857142857142865,1.191893862622614,43.0,8.578833333333332,1.2591666666666668,7.142857142857143,1.1269101150668124,42.0,1.3571428571428568,7.629833333333332,4.23054761904762,0.06498374755580172,1.0
Matthew Riddle,Greg Soto,1,2010-03-27,4.673166666666665,4.1739999999999995,2.3454545454545457,1.2383159506105788,39.0,0.615,2.6578333333333335,2.7384615384615385,1.053965817984584,38.0,0.3930069930069928,4.058166666666665,1.516166666666666,0.18435013262599464,1.0
Kenny Florian,Takanori Gomi,1,2010-03-31,0.4995000000000001,3.692,4.14,1.02035011433518,48.0,12.134961538461537,2.267423076923077,9.942857142857143,0.7781067388637959,46.0,5.802857142857143,11.635461538461538,1.424576923076923,0.2422433754713842,2.0
Roy Nelson,Stefan Struve,1,2010-03-31,8.300833333333332,1.3455,7.322222222222223,1.2282841421801312,48.0,14.087000000000002,2.4339999999999997,9.343478260869567,2.033688251352377,36.0,2.021256038647344,5.78616666666667,1.0884999999999998,0.8054041091722457,12.0
Nate Quarry,Jorge Rivera,0,2010-03-31,26.006999999999998,0.3595,3.35,1.0725304673971499,52.0,19.320999999999998,1.078,5.93793103448276,1.1454747644793777,52.0,2.5879310344827595,6.686,0.7185000000000001,0.07294429708222783,0.0
Ross Pearson,Dennis Siver,1,2010-03-31,9.175152173913043,0.8783695652173913,7.311111111111111,0.7741279590229466,40.0,4.574653846153846,1.3214615384615387,6.93529411764706,0.7285729260062672,46.0,0.37581699346405095,4.600498327759197,0.4430919732441474,0.0455550330166794,6.0
Andre Winner,Rafaello Oliveira,1,2010-03-31,0.08699999999999997,0.1365,6.923529411764706,1.0314223887311695,43.0,12.695,4.196666666666667,5.136,0.8510510359460237,43.0,1.787529411764706,12.608,4.060166666666667,0.18037135278514582,0.0
Caol Uno,Gleison Tibau,0,2010-03-31,25.3655,2.5335,11.515789473684212,0.7781067388637959,49.0,4.434166666666666,5.107055555555555,9.540425531914893,0.9200165531874032,41.0,1.9753639417693183,20.931333333333335,2.573555555555555,0.14190981432360728,8.0
Rob Emerson,Nik Lentz,0,2010-03-31,0.35650000000000004,2.5629999999999997,6.12,0.8470722561051749,43.0,5.086954545454546,4.625090909090909,8.936363636363637,0.7206153663245697,40.0,2.8163636363636373,4.7304545454545455,2.0620909090909096,0.1264568897806052,3.0
Yushin Okami,Lucio Linhares,1,2010-03-31,8.676833333333331,2.6433333333333335,9.347826086956523,1.2343371707697304,43.0,-0.178,3.885,5.540740740740741,1.2704985610095267,51.0,3.807085346215782,8.854833333333332,1.2416666666666663,0.036161390239796365,8.0
Gerald Harris,Mario Miranda,1,2010-03-31,8.599833333333333,3.1963333333333335,5.764285714285715,1.2303554010841529,45.0,12.783,1.1640000000000001,4.333333333333334,1.252901820182296,45.0,1.4309523809523812,4.183166666666667,2.0323333333333333,0.022546419098143033,0.0
Charlie Brenneman,Jason High,1,2010-03-31,9.419409090909092,4.433181818181819,5.540740740740741,0.8815550147258648,44.0,5.242,5.391499999999999,5.555555555555556,0.9279741128691004,43.0,0.014814814814815058,4.177409090909092,0.9583181818181803,0.046419098143235527,1.0
Jacob Volkmann,Ronys Torres,1,2010-03-31,0.1765,5.40775,5.346153846153847,0.8855337945667132,44.0,0.0655,4.5865,8.175,0.8384406357361538,49.0,2.828846153846154,0.11099999999999999,0.82125,0.04709315883055942,5.0
Matt Hughes,Renzo Gracie,1,2010-04-10,19.2665,4.322500000000001,10.966666666666667,0.9850003007432045,51.0,25.3415,2.0,4.323809523809524,1.132567526526768,57.0,6.642857142857142,6.074999999999999,2.3225000000000007,0.14756722578356352,6.0
Anderson Silva,Demian Maia,1,2010-04-10,11.381285714285715,1.5023571428571427,9.151111111111112,1.3338036769462218,49.0,1.2815384615384617,3.6446923076923077,7.943589743589745,1.084469796764425,47.0,1.207521367521367,10.099747252747253,2.142335164835165,0.2493338801817968,2.0
BJ Penn,Frankie Edgar,0,2010-04-10,7.889999999999999,1.8715,6.5,0.8470722561051749,46.0,8.651545454545454,2.712863636363636,7.131428571428572,0.6365987948463516,43.0,0.6314285714285717,0.7615454545454554,0.8413636363636361,0.21047346125882327,3.0
Terry Etim,Rafael Dos Anjos,0,2010-04-10,6.5809999999999995,2.0389999999999997,4.352380952380953,1.1003879059725485,39.0,5.273,2.7575625,9.536170212765958,0.8351329267379001,40.0,5.183789260385005,1.3079999999999998,0.7185625000000004,0.26525497923464847,1.0
DaMarques Johnson,Brad Blackburn,1,2010-04-10,15.7405,2.0439999999999996,6.1,1.1998544121490404,42.0,25.7665,1.7810000000000001,6.5125,1.0194830593638944,47.0,0.41250000000000053,10.026,0.26299999999999946,0.18037135278514604,5.0
Alexander Gustafsson,Phil Davis,0,2010-04-10,10.928617647058822,2.145029411764706,5.338461538461539,1.5442771382050449,38.0,0.689,3.7871818181818186,4.361904761904762,1.440828862342976,40.0,0.9765567765567766,10.239617647058822,1.6421524064171127,0.10344827586206895,2.0
Nick Osipczak,Rick Story,0,2010-04-10,0.31699999999999995,2.3385,1.9333333333333333,1.2727987092312687,40.0,5.487,3.59625,5.735714285714287,0.9080772238201279,40.0,3.802380952380953,5.17,1.2577500000000001,0.3647214854111408,0.0
Jon Madsen,Mostapha Al-Turk,1,2010-04-10,6.891500000000001,1.4965000000000002,2.16,1.1552449614960758,45.0,-0.08399999999999996,0.0,2.5000000000000004,1.4240436981635671,51.0,0.3400000000000003,6.9755,1.4965000000000002,0.2687987366674913,6.0
Paul Kelly,Matt Veach,1,2010-04-10,6.8260000000000005,3.085,3.947368421052632,0.8470722561051749,40.0,-0.3345,5.547000000000001,4.554545454545455,0.9763716702189124,43.0,0.6071770334928228,7.160500000000001,2.4620000000000006,0.12929941411373747,3.0
Kendall Grove,Mark Munoz,0,2010-04-10,6.6305,2.3135,8.115,1.5486577883520571,42.0,8.961833333333331,3.9121666666666663,4.14,1.0340689289356115,47.0,3.9750000000000005,2.3313333333333315,1.5986666666666665,0.5145888594164456,5.0
Lyoto Machida,Mauricio Rua,0,2010-05-08,13.1095,1.8137499999999998,6.550000000000001,1.1839363029409165,46.0,15.128684210526316,2.8441578947368416,8.528571428571428,1.2909614883376705,43.0,1.9785714285714278,2.0191842105263156,1.0304078947368418,0.1070251853967541,3.0
Josh Koscheck,Paul Daley,1,2010-05-08,8.606833333333332,3.0515555555555554,5.7214285714285715,1.0194830593638944,47.0,0.6134999999999999,1.034,11.339285714285715,1.1003849161278199,41.0,5.617857142857144,7.993333333333332,2.017555555555555,0.08090185676392547,6.0
Sam Stout,Jeremy Stephens,0,2010-05-08,8.905333333333331,0.8848333333333334,6.721212121212122,0.8470722561051749,40.0,8.502,1.692,9.519148936170213,0.8704827403298746,38.0,2.797936814958091,0.40333333333333066,0.8071666666666666,0.023410484224699712,2.0
Kevin Ferguson,Matt Mitrione,0,2010-05-08,25.220499999999998,4.444,1.542857142857143,1.4089926439267286,51.0,17.972692307692306,0.7934615384615384,3.5411764705882356,1.6809031054637826,46.0,1.9983193277310927,7.247807692307692,3.6505384615384617,0.271910461537054,5.0
Patrick Cote,Alan Belcher,0,2010-05-08,6.639,0.9738333333333334,6.93529411764706,1.1308888949076612,44.0,10.3805,1.4840000000000002,5.338461538461539,1.2568806000231447,40.0,1.596832579185521,3.7414999999999994,0.5101666666666668,0.12599170511548352,4.0
Tom Lawlor,Joe Doerksen,0,2010-05-08,6.687499999999999,4.05875,3.325,1.1795556527939044,41.0,0.09799999999999998,4.569166666666667,13.55223880597015,1.1879150827817653,47.0,10.22723880597015,6.589499999999999,0.510416666666667,0.008359429987860878,6.0
TJ Grant,Johny Hendricks,0,2010-05-08,6.948,2.36175,5.361538461538462,0.9584780916489415,40.0,9.654026315789473,4.2620000000000005,5.338461538461539,0.8536975761504655,41.0,0.023076923076922995,2.7060263157894724,1.9002500000000007,0.104780515498476,1.0
Joey Beltran,Tim Hague,1,2010-05-08,6.8425,0.5820000000000001,6.309677419354839,1.2223978414024548,43.0,12.7395,2.7545,6.923529411764706,1.4770911061968222,41.0,0.6138519924098675,5.896999999999999,2.1725000000000003,0.2546932647943674,2.0
Yoshiyuki Yoshida,Mike Guymon,0,2010-05-08,-0.21200000000000002,4.276999999999999,5.533333333333334,0.9385812025999691,50.0,0.798,3.2628333333333335,4.536363636363637,1.1269101150668124,50.0,0.9969696969696971,1.01,1.0141666666666658,0.18832891246684325,0.0
Jason MacDonald,John Salter,0,2010-05-08,12.6555,3.5515,8.321951219512195,1.4836710509515263,49.0,0.33399999999999996,3.61,3.5647058823529414,1.1839363029409165,39.0,4.7572453371592545,12.3215,0.058499999999999996,0.29973474801060984,10.0
Marcus Davis,Jonathan Goulet,1,2010-05-08,17.103666666666662,3.2023333333333333,6.733333333333334,0.9040984439792795,51.0,25.252,4.92,7.131428571428572,1.0884485766052736,45.0,0.3980952380952374,8.148333333333337,1.7176666666666667,0.1843501326259941,6.0
Michael Bisping,Dan Miller,1,2010-05-29,9.182833333333333,1.5052777777777777,7.953846153846155,1.2223978414024548,45.0,3.319,3.6605,4.527272727272727,1.1839363029409165,43.0,3.4265734265734276,5.863833333333333,2.155222222222222,0.038461538461538325,2.0
Jason Brilz,Rogerio Nogueira,0,2010-05-29,13.0755,3.7325,5.951724137931035,1.0296882787885993,49.0,12.915,1.568,6.73939393939394,1.2869827084968222,48.0,0.7876698014629051,0.16050000000000075,2.1645,0.2572944297082229,1.0
Diego Sanchez,John Hathaway,0,2010-05-29,5.640657894736841,2.3920000000000003,8.940909090909091,0.9810215209023562,43.0,4.919666666666666,3.6345,3.978947368421053,1.1998544121490404,37.0,4.961961722488038,0.7209912280701749,1.2424999999999997,0.21883289124668426,6.0
Todd Duffee,Mike Russow,0,2010-05-29,26.21,0.8474999999999999,2.5500000000000003,1.5195314244992097,39.0,10.135,5.4245,3.7666666666666666,1.2507658399335617,48.0,1.2166666666666663,16.075000000000003,4.577,0.26876558456564803,9.0
Efrain Escudero,Dan Lauzon,1,2010-05-29,0.5675,2.2915555555555556,8.14,0.8855337945667132,39.0,-0.1369999999999999,4.4595,4.747826086956522,0.9418889115982227,36.0,3.3921739130434787,0.7044999999999999,2.1679444444444447,0.05635511703150953,3.0
Melvin Guillard,Waylon Lowe,1,2010-05-29,12.005136363636364,1.7009545454545454,10.523076923076923,0.8855337945667132,41.0,6.549499999999999,4.997999999999999,4.739130434782609,0.7438249153961878,44.0,5.783946488294314,5.455636363636365,3.297045454545454,0.14170887917052544,3.0
Luiz Cane,Cyrille Diabate,0,2010-05-29,19.3695,1.002,4.941666666666667,1.3338036769462218,43.0,4.1049999999999995,1.6724999999999999,6.126666666666667,1.6556829737488115,51.0,1.1849999999999996,15.264499999999998,0.6704999999999999,0.32187929680258964,8.0
Aaron Riley,Joe Brammer,1,2010-05-29,0.45500000000000007,1.391,9.133333333333333,0.7741279590229466,44.0,0.2634999999999999,0.935,2.3272727272727276,0.8729233943568433,41.0,6.806060606060605,0.19150000000000017,0.45599999999999996,0.09879543533389668,3.0
Jesse Forbes,Ryan Jensen,0,2010-05-29,0.04600000000000015,3.4185,4.15,1.2568806000231447,40.0,0.42800000000000005,3.806,5.944827586206897,1.260859379863993,47.0,1.794827586206897,0.3819999999999999,0.3875000000000002,0.003978779840848379,7.0
Amir Sadollah,Dong Hyun Kim,0,2010-05-29,4.398428571428572,0.9704999999999999,2.309090909090909,1.0964061362869715,44.0,9.360071428571429,3.6833571428571434,5.562962962962963,1.2727987092312687,43.0,3.2538720538720542,4.961642857142857,2.7128571428571435,0.17639257294429722,1.0
Chuck Liddell,Rich Franklin,0,2010-06-12,25.49,0.6335,5.944827586206897,1.3254442469583605,55.0,13.3955,2.1719999999999997,7.361111111111112,1.260859379863993,50.0,1.4162835249042143,12.094499999999998,1.5384999999999998,0.06458486709436739,5.0
Paulo Thiago,Martin Kampmann,0,2010-06-12,5.857055555555555,2.7295,5.533333333333334,1.0924273564461229,44.0,9.865,4.03075,5.548148148148148,1.0499870381437353,42.0,0.01481481481481417,4.007944444444445,1.3012500000000005,0.04244031830238759,2.0
Ben Rothwell,Gilbert Yvel,1,2010-06-12,8.200000000000001,1.247875,10.747169811320756,1.5615397102383186,43.0,12.6645,1.025,11.339285714285715,1.3939747417917332,48.0,0.5921159029649594,4.464499999999999,0.22287500000000016,0.16756496844658542,5.0
Carlos Condit,Rory MacDonald,1,2010-06-12,6.55735294117647,1.7411176470588237,9.339130434782609,1.2343371707697304,40.0,11.111166666666668,2.3285,4.765217391304349,1.203833191989889,35.0,4.57391304347826,4.553813725490198,0.5873823529411764,0.030503978779841345,5.0
Tyson Griffin,Evan Dunham,0,2010-06-12,10.761999999999999,2.898,4.9333333333333345,0.6516498490831901,40.0,6.85335294117647,2.9779117647058824,5.7285714285714295,0.8815550147258648,43.0,0.7952380952380951,3.9086470588235285,0.07991176470588224,0.2299051656426747,3.0
Mac Danzig,Matt Wiman,0,2010-06-12,7.655857142857142,1.9372142857142858,6.923529411764706,0.8125894974844854,45.0,5.4335,3.7914999999999996,5.323076923076924,0.8046319378027877,41.0,1.6004524886877824,2.222357142857142,1.8542857142857139,0.007957559681697646,4.0
David Loiseau,Mario Miranda,0,2010-06-12,25.004,0.629,6.93529411764706,1.2263766212433036,45.0,12.783,1.1640000000000001,4.333333333333334,1.252901820182296,45.0,2.601960784313726,12.221000000000002,0.5350000000000001,0.0265251989389923,0.0
James Wilks,Peter Sobotta,1,2010-06-12,0.31550000000000006,5.169,2.3272727272727276,1.1998544121490404,46.0,8.600333333333332,2.182777777777778,5.136,1.1653716535283507,38.0,2.8087272727272725,8.284833333333331,2.9862222222222217,0.034482758620689724,8.0
